id,chr,r6start,r6stop,positive,H3_c12,H3_c14a,H3_c14c,H3_c8,H3K18ac_c12,H3K18ac_c14a,H3K18ac_c14c,H3K18ac_c8,H3K27ac_c12,H3K27ac_c14a,H3K27ac_c14c,H3K27ac_c8,H3K27me3_c12,H3K27me3_c14a,H3K27me3_c14c,H3K36me3_c12,H3K36me3_c14a,H3K36me3_c14c,H3K4me1_c12,H3K4me1_c14a,H3K4me1_c14c,H3K4me1_c8,H3K4me3_c12,H3K4me3_c14a,H3K4me3_c14c,H3K4me3_c8,H3K9ac_c12,H3K9ac_c14a,H3K9ac_c14c,H3K9ac_c8,H4K5ac_c12,H4K5ac_c14a,H4K5ac_c14c,H4K5ac_c8,H4K8ac_c12,H4K8ac_c14a,H4K8ac_c14c,H4K8ac_c8,input_c12,input_c14a,input_c14c,input_c8,wt_H3,wt_H3K18ac,wt_H3K4me1,wt_ZLD,bcd1,bcd2,cad1,D1,da2,dl3,ftz3,gt2,h1,h2,hb1,hb2,hkb1,hkb2,hkb3,kni1,kni2,kr1,kr2,mad2,med2,prdBQ,prdFQ,run1,run2,shn2,shn3,slp1,sna1,sna2,tll1,twi1,twi2,z2
VT0013,chr2L,26520,27246,1,8,10,10,19,17,24,38,30,47,44,50,14,13,34,35,16,49,18,14,78,131,7,56,45,36,0,10,23,49,13,14,10,10,31,15,15,20,6,17,24,21,13,26.65,96.348,139.74,1409.07,0,0,3.10418,3.72469,3.90056,3.35063,0,3.09184,1.79701,1.99444,1.4869,1.64478,2.03067,2.04354,1.80216,0,1.52113,2.97775,3.09141,0,4.13046,1.45935,1.70312,1.38572,0,0,0,1.64312,0,1.34721,2.33527,3.41737,3.61215,1.26715
VT0015,chr2L,33156,33884,0,12,14,14,13,14,16,15,20,12,19,26,22,13,22,24,25,39,23,26,35,70,8,33,17,17,97,7,19,24,15,12,10,8,45,11,18,19,4,15,18,19,7,17.9,76.035,94.86,263.872,0,0,2.32342,2.6416,1.53601,2.0752,0,2.38773,0,0,2.4893,3.19285,0,0,0,0,1.39596,1.4058,1.3428,0,1.69117,0,0,1.35559,0,0,0,0,0,0,0,3.06392,3.04416,0
VT0016,chr2L,34214,34809,0,21,16,13,15,12,20,31,0,21,25,15,0,11,14,8,20,25,22,18,30,81,10,0,28,43,44,3,20,24,13,17,12,11,49,13,14,17,4,27,21,26,8,24.35,55.5,73.44,115.692,0,0,1.57233,2.0709,1.79691,1.85281,0,1.53399,0,0,1.9572,2.41419,0,0,0,0,1.41087,1.1851,1.12923,0,1.34653,0,0,1.45164,0,0,0,0,0,0,0,2.80691,2.72944,0
VT0017,chr2L,35138,35800,0,7,9,11,9,9,6,26,8,14,29,11,29,23,32,14,53,2,8,11,8,24,9,9,28,30,0,2,16,27,7,13,10,9,23,12,12,21,4,15,21,14,7,33.55,36.63,35.7,236.53,0,0,1.68858,2.72769,1.32281,2.05525,0,0,0,1.32373,0,0,0,0,0,0,0,1.3304,0,0,1.58022,1.3229,1.39102,0,0,0,0,0,0,0,0,1.12594,0,1.27922
VT0018,chr2L,37992,39407,0,17,25,21,20,44,18,16,7,24,18,21,22,23,33,33,21,5,15,14,10,17,12,18,67,56,97,13,34,36,5,20,10,8,40,13,18,20,6,25,23,18,11,35.1,38.85,64.362,90.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18331,0,1.12669,1.14454,0
VT0019,chr2L,39832,41927,0,14,21,20,15,12,28,22,25,34,29,22,7,29,50,34,39,39,24,31,11,30,10,40,72,37,93,14,22,27,11,20,9,8,45,7,13,17,5,20,25,26,11,29.6,64.38,61.2,40.734,0,0,0,1.25656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54877,0,1.19486,0,1.12475,1.03834,0
VT0020,chr2L,41208,43332,0,9,19,22,13,30,19,19,25,23,26,23,14,23,33,61,11,30,24,19,12,20,2,52,56,74,68,17,34,54,13,20,9,7,48,9,17,20,4,20,31,23,16,40.85,64.38,70.38,51.46,0,0,0,1.41993,0,1.18797,0,0,0,0,0,0,0,0,0,0,0,1.2367,0,0,0,0,0,0,0,0,0,1.62239,0,0,0,0,0,0
VT0021,chr2L,42658,44732,0,14,18,22,22,22,27,20,26,26,45,21,14,23,61,61,28,33,38,20,25,41,11,61,87,76,16,10,34,54,13,23,12,9,48,9,17,20,4,29,31,23,11,40.85,46.62,112.2,51.46,0,0,1.97244,2.06364,0,1.50851,0,0,0,1.26562,0,1.42036,0,0,0,0,0,1.26967,1.3787,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25885,0
VT0022,chr2L,44054,46142,0,14,21,20,14,22,28,17,13,43,27,23,48,46,19,37,28,33,22,18,23,41,14,37,54,36,28,10,22,34,19,19,7,9,42,10,17,14,4,22,24,23,11,34.65,42.18,112.2,140.12,0,0,1.96528,2.05755,0,1.45762,0,0,0,1.33423,0,1.416,0,0,0,0,0,0,1.3787,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25885,0
VT0025,chr2L,54047,56104,0,11,15,18,17,22,22,24,29,17,18,25,14,30,61,47,21,10,40,18,20,25,18,63,75,39,52,13,20,34,5,17,8,8,37,7,12,15,5,19,30,24,9,29,45.51,59.16,39.06,0,0,0,1.38031,1.63004,1.19416,0,2.19124,0,0,0,0,0,0,0,0,0,1.29377,1.32415,0,1.20343,0,0,0,0,0,0,0,0,0,0,1.43026,1.45934,1.26582
VT0104,chr2L,228076,230306,0,16,14,11,18,15,28,11,15,10,27,18,14,32,17,25,33,69,187,12,20,15,12,35,37,13,72,20,19,24,11,16,7,7,45,8,16,14,4,20,29,15,10,31.15,45.732,48.96,34.72,0,0,0,1.28231,0,1.09378,0,0,0,0,0,0,0,0,0,0,0,1.32811,1.31623,0,1.31144,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0105,chr2L,229365,231563,0,12,23,14,13,11,28,11,17,37,27,25,7,32,28,25,23,69,189,12,19,24,12,40,37,14,32,11,24,17,11,26,11,6,38,7,10,9,4,23,21,17,10,21.55,47.73,47.94,95.976,0,0,0,1.30575,0,1.10451,0,0,0,0,0,0,0,0,0,0,0,0,1.32121,0,1.31144,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0106,chr2L,230498,232611,0,12,23,15,15,19,21,13,32,37,17,25,7,32,37,67,18,45,168,15,19,25,5,40,32,42,24,10,24,17,7,26,15,6,40,7,10,9,4,24,23,21,13,24.9,62.271,35.7,95.976,0,0,0,1.30575,0,1.1595,0,0,0,0,0,0,0,0,0,0,0,0,1.2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0107,chr2L,242019,244270,0,11,18,19,17,19,18,17,3,17,26,26,14,38,74,37,17,35,27,24,22,31,15,37,54,78,121,17,30,20,21,21,8,6,32,9,10,13,3,27,25,21,9,36.5,90.576,136.068,45.88,0,1.42326,1.59464,1.33197,1.42277,2.18522,1.65256,0,1.50238,1.41062,1.33215,1.4281,0,0,0,0,1.4152,0,0,1.38853,1.26843,0,0,1.45685,1.57832,0,0,1.6176,0,1.25145,0,1.16766,1.24677,0
VT0108,chr2L,243746,245841,0,12,25,24,19,21,38,29,13,34,40,28,29,33,74,20,20,31,14,19,46,69,20,42,48,45,84,23,36,59,5,18,12,12,41,10,20,26,4,25,22,28,10,35.2,90.576,104.04,88.04,0,0,1.89905,1.81281,2.99499,2.29608,0,1.76078,0,0,1.34,1.43315,0,0,0,0,0,0.981744,1.14022,0,1.32823,1.09776,1.03452,0,0,0,0,0,0,0,0,1.74425,1.84503,0
VT0109,chr2L,245396,247649,0,12,21,14,19,39,27,30,13,24,42,53,36,33,18,21,12,22,59,19,46,102,12,47,38,45,0,14,27,59,7,17,12,10,80,10,20,20,4,28,28,20,11,26.6,102.786,92.106,282.348,0,0,2.77167,2.8048,4.01475,4.34033,0,2.25914,1.47774,1.51279,1.70175,0,0,0,0,0,1.41493,1.879,1.86897,0,2.38604,1.50743,1.5893,1.45467,0,0,0,0,0,0,0,2.51506,2.50422,1.7991
VT0112,chr2L,250756,251202,1,5,9,7,10,4,30,40,9,5,95,65,0,8,22,12,32,27,74,5,26,45,8,44,185,540,0,15,217,383,15,10,9,9,31,10,21,24,1,19,24,20,8,26.1,44.4,65.892,45.26,0,0,1.7324,2.3183,1.45559,3.63968,0,0,0,0,1.20324,0,0,0,0,0,0,0,1.2834,0,2.60017,1.20873,1.13331,0,0,0,0,0,0,0,0,1.30934,1.36056,1.55225
VT0129,chr2L,283242,283450,0,9,11,14,12,38,26,13,7,49,25,30,29,44,3,13,2,47,92,28,86,67,10,42,41,24,0,9,23,28,15,15,13,9,50,20,24,19,15,15,25,18,11,23.65,42.18,118.116,69.44,1.19042,0,1.96273,2.11685,2.79507,1.68726,0,2.07424,0,1.2376,1.65201,2.12365,1.70032,1.78561,1.60989,0,0,1.58468,1.88812,0,2.10627,1.21073,1.17949,1.27091,0,0,0,0,1.324,1.68906,1.88475,1.56227,1.84923,0
VT0130,chr2L,284106,286259,0,22,25,20,22,26,33,29,15,31,39,45,22,23,57,39,18,25,82,18,69,64,27,80,45,49,89,13,29,83,11,20,12,10,57,20,21,27,10,24,21,20,10,42.3,119.88,82.62,486.7,1.16326,0,1.62088,1.84239,2.31224,1.82731,0,1.80051,0,1.3711,2.71813,4.14116,1.56517,0,0,0,0,1.63475,1.60685,0,2.60578,1.22193,1.31579,1.58668,0,0,0,0,0,1.19847,0,1.70618,1.59878,1.22537
VT0131,chr2L,285217,287380,0,18,25,18,22,26,26,18,21,44,39,36,14,23,38,39,50,22,68,16,31,59,18,54,39,49,76,22,31,83,5,16,12,15,48,15,23,32,10,22,32,26,20,37.7,119.88,82.62,64.48,0,0,0,1.78865,1.97519,1.82731,0,0,0,1.3711,1.27314,0,1.43901,0,0,0,0,1.46457,1.47174,0,1.83091,1.25374,1.31579,0,0,0,0,0,0,0,0,1.24303,1.17559,1.44187
VT0132,chr2L,288875,290893,0,13,24,21,21,15,39,28,9,29,24,18,31,39,49,27,12,25,35,27,28,25,10,44,37,29,0,23,36,29,24,25,8,11,40,11,14,19,5,24,22,22,11,36.85,132.09,39.78,62.62,0,0,0,1.31974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23317,0,0,0,0,0,0,0,0,0,0,0,1.13242,0
VT0204,chr2L,455548,456979,0,19,25,29,23,13,18,22,11,18,37,26,7,25,54,23,9,32,77,19,43,82,14,49,45,84,16,16,21,80,17,14,8,9,40,7,14,21,7,15,24,33,10,44.9,22.2,59.16,93.62,0,0,0,1.70229,0,1.3935,0,0,0,0,0,0,0,0,0,0,0,1.36882,1.64324,0,1.41759,0,0,0,0,0,0,0,0,1.21138,0,1.20032,0,0
VT0205,chr2L,458606,460563,0,19,18,17,18,21,21,22,1,14,12,26,22,25,24,26,46,32,90,14,10,30,10,23,56,62,48,10,20,26,7,17,11,10,52,7,8,11,6,21,20,24,9,29.85,75.48,75.48,59.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27718,1.3241,0,0,0,0,0,0,0,0,0,0,1.09549,0,0,0,0
VT0248,chr2L,542535,542947,0,3,5,7,11,15,6,9,15,51,16,29,7,7,23,19,0,38,83,9,28,21,1,28,45,143,59,5,32,155,3,9,5,8,40,9,10,12,8,15,22,17,9,8.3,15.54,21.42,16.12,0,0,0,1.56213,1.12577,1.57493,0,0,0,1.22254,0,0,0,0,0,0,0.993396,0,0,1.14263,1.88281,1.25626,0,1.27548,0,0,0,0,0,1.0349,0,1.0036,0,1.37598
VT0249,chr2L,544170,544616,0,21,16,24,19,14,11,25,17,31,58,106,111,8,6,5,6,33,70,18,70,152,17,52,176,213,0,7,79,289,5,9,9,10,34,10,15,25,24,20,24,18,7,20.4,54.39,86.7,800.792,1.21181,0,2.02986,1.7691,2.05422,2.72518,0,0,1.82067,1.77958,0,0,1.556,0,0,0,0,1.26581,1.29917,1.38717,1.76256,0,1.15829,1.46381,0,0,0,0,1.56081,2.60439,2.09311,1.74339,1.68598,0
VT0250,chr2L,544586,545182,0,17,27,19,14,13,9,15,27,29,18,72,18,31,10,23,9,25,29,13,27,34,22,52,19,119,8,6,44,223,3,20,12,5,45,14,13,15,24,15,22,21,11,40.4,132.09,94.86,77.5,0,0,1.63677,1.69245,1.57475,2.40113,0,0,1.84988,1.72162,0,0,1.483,0,0,0,0,0,1.24145,1.34377,1.71742,0,0,1.42101,0,0,0,0,1.34112,1.71509,1.9882,1.60629,1.55551,0
VT0251,chr2L,545256,545891,0,21,22,27,24,16,15,11,11,30,21,13,14,9,30,5,21,24,21,6,5,18,1,56,45,47,0,14,33,15,1,18,8,6,37,18,10,17,9,26,18,24,12,46.25,54.39,66.3,106.64,0,0,0,1.17611,0,1.12265,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2205,0.918834,0,0,0,0,0,0,0,0,1.20028,0,0.913283,1.18941,0
VT0252,chr2L,547071,547528,0,18,20,30,18,11,9,9,0,8,7,23,7,32,13,62,36,24,26,8,10,12,1,18,39,43,16,6,14,30,1,17,7,6,43,7,10,17,4,16,18,20,11,29.6,25.974,3.06,0,1.26115,0,0,1.23051,1.39946,1.31951,0,0,0,0,0,0,0,0,0,0,1.45426,1.2391,0,1.303,1.14234,0,0,1.32382,0,0,0,0,1.30134,1.45226,0,1.12755,1.19244,0
VT0255,chr2L,551806,552464,0,21,20,18,14,13,11,16,0,23,6,18,7,22,39,23,6,7,12,13,4,11,14,52,29,50,4,13,24,24,5,10,9,7,36,5,8,15,3,26,26,24,13,31.2,36.63,15.3,23.56,0,0,0,0,0,1.13363,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13569,0,0,0,0,0,0,0,0,0,1.20491,0,0,0,0
VT0266,chr2L,579519,581579,0,23,25,29,18,12,22,17,5,21,18,26,32,25,21,33,16,19,26,21,18,13,8,33,39,21,12,8,24,29,7,16,9,5,48,10,10,13,3,18,18,26,9,35.8,45.51,71.4,92.38,0,0,0,0,0,1.01624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23497,0,1.17374,0,0
VT0267,chr2L,580471,582588,0,16,20,18,14,17,14,17,16,10,17,26,29,26,31,33,14,15,66,21,18,12,7,47,43,37,28,14,24,30,7,16,8,5,54,10,8,13,4,18,18,24,10,35.8,42.18,33.66,92.38,0,0,0,0,1.20081,1.08054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23497,0,1.16017,1.00253,0
VT0268,chr2L,581470,583741,0,16,20,20,17,19,10,17,16,15,16,25,14,46,31,34,10,33,66,21,18,12,7,47,43,37,64,14,19,30,7,16,7,5,56,8,7,17,4,15,18,18,10,34.55,22.2,54.06,84.32,0,0,0,0,2.33543,1.08054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9068,1.91985,0
VT0269,chr2L,584274,586488,0,21,13,20,17,28,12,16,30,21,21,20,29,25,58,87,32,23,61,13,25,26,27,23,19,42,72,14,28,44,13,21,10,8,38,10,9,12,5,24,27,24,10,32.75,54.168,77.52,24.18,1.2535,0,0,1.28437,1.22367,1.42644,0,0,0,0,1.45215,1.6235,0,1.53071,0,0,0,1.47207,1.56175,0,0,0,0,0,0,0,0,0,0,0,0,1.2381,1.22238,0
VT0270,chr2L,585826,587936,0,14,17,29,22,15,20,15,28,29,26,20,14,32,58,78,42,21,32,27,34,27,27,63,82,33,105,19,23,24,11,16,8,8,45,14,10,16,5,23,28,22,12,41.35,70.041,63.75,75.02,1.28864,0,0,1.45656,1.30204,1.52579,0,0,0,0,1.57401,1.63786,0,1.58388,0,0,0,1.312,1.27497,0,0,0,0,0,0,0,0,0,0,1.30341,0,1.34708,1.25667,0
VT0274,chr2L,592497,593791,0,17,22,34,20,12,13,13,8,24,20,10,22,18,87,280,20,10,14,23,23,30,7,52,41,45,60,22,44,60,13,15,9,8,40,7,12,19,4,17,32,15,9,32.25,47.73,62.22,53.444,0,0,0,0,0,1.22501,0,0,0,0,1.28861,0,0,0,0,0,0,1.41605,0,1.31631,0,1.18772,1.19458,0,0,0,0,0,0,1.17327,0,1.45246,1.39424,0
VT0275,chr2L,594183,594824,0,7,17,25,17,9,11,9,19,14,2,3,7,10,6,151,22,7,1,29,50,90,7,28,8,34,71,11,18,103,0,19,5,5,40,7,5,14,4,19,19,20,8,24.8,24.42,197.88,139.128,0,1.36947,0,1.9497,3.16437,5.43425,0,0,0,1.52121,1.41291,0,1.55821,0,0,0,0,2.17626,2.06299,1.35347,2.63399,1.39707,1.73667,1.3894,0,0,0,0,0,1.1721,0,3.49572,3.74884,1.28758
VT0277,chr2L,596726,598791,0,14,19,17,19,18,16,26,28,37,21,23,14,47,63,275,37,11,32,17,52,92,17,115,35,49,101,14,39,75,9,26,7,14,49,11,9,15,4,28,29,35,16,41.35,56.61,120.36,89.9,1.82466,1.38818,2.45125,4.73356,4.04613,3.00824,0,3.23707,0,1.3956,1.40602,0,3.59214,3.49052,3.27595,0,0,1.94779,1.75518,0,1.55643,1.366,1.82285,0,0,0,0,2.91451,0,0,2.116,2.41669,2.40177,1.23907
VT0278,chr2L,597778,599872,0,14,15,17,19,32,16,26,35,13,21,23,14,47,88,366,22,11,60,10,31,74,17,47,35,49,101,26,32,75,9,18,7,8,48,12,10,16,6,31,18,24,16,37.2,108.336,120.36,67.332,1.82442,1.38818,2.45125,4.73356,4.04613,3.00824,0,3.23707,0,1.37403,1.42582,1.80641,3.59214,3.49052,3.27595,0,0,1.94779,1.75518,0,1.52893,2.9758,3.92286,0,0,0,0,2.91451,0,0,1.80577,2.41669,2.40177,1.23907
VT0279,chr2L,598791,601002,1,15,17,25,14,32,16,21,36,29,21,23,22,44,88,366,52,25,61,28,23,57,11,33,50,40,93,26,35,54,17,21,9,8,60,12,15,18,7,31,28,28,11,45.85,108.336,70.38,251.844,2.48778,3.27047,1.86353,2.29416,1.57591,2.36763,0,2.02456,0,1.32453,1.65182,2.28125,2.2136,1.76921,2.15112,0,1.66058,3.15596,2.82648,0,2.14628,2.9758,3.92286,1.35581,0,0,0,1.64036,0,0,2.50396,1.5066,1.46438,0
VT0327,chr2L,700634,702788,0,22,20,29,22,32,33,30,13,30,27,24,29,79,43,62,2,25,50,22,26,40,27,40,30,71,76,16,21,31,11,15,10,14,58,7,14,23,4,24,18,22,10,52.05,48.84,42.84,32.736,0,0,0,2.29007,1.8054,3.16139,0,1.95345,1.59857,1.78997,1.26466,0,0,0,0,0,0,1.63952,1.68506,0,2.35771,1.27712,1.30493,1.5314,0,0,2.35578,1.85193,0,0,2.1962,1.6297,1.68529,1.21864
VT0341,chr2L,725796,728442,0,18,16,29,18,37,18,19,6,21,15,20,36,28,30,34,36,20,56,13,19,16,8,33,19,59,64,14,25,29,19,23,10,9,52,8,11,16,3,33,19,35,12,38.55,60.828,61.2,78.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38647,1.37211,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0342,chr2L,730427,732657,0,22,17,23,22,32,11,21,22,9,14,18,44,31,27,41,2,22,14,16,10,17,15,54,30,69,80,15,22,39,19,15,7,7,52,5,9,11,4,26,28,27,16,32.7,51.06,39.78,76.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4396,0,0,1.26515,1.28726,0
VT0343,chr2L,732024,734172,0,18,15,19,18,32,11,19,10,23,15,26,29,32,43,31,25,28,21,16,16,15,15,26,32,69,61,13,22,28,19,17,9,11,48,7,9,11,4,26,28,27,14,26.65,39.96,28.56,76.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14287,0,0,0,0,0,0,0,0,1.19707,0,0,1.12525,0
VT0345,chr2L,735151,737255,0,18,19,23,20,14,9,26,15,23,13,31,36,47,29,43,52,18,29,9,11,20,10,33,33,55,24,10,20,20,5,20,9,8,52,6,6,15,3,27,28,26,11,26.4,43.29,57.12,79.36,1.21579,1.34536,0,0,0,0,0,0,1.48273,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17381,0,0,0,0,0,0,1.26667,0,1.15775,0,0
VT0347,chr2L,739901,740407,0,23,13,28,24,7,4,15,25,19,8,21,22,0,25,22,0,4,12,1,7,16,7,30,6,28,0,1,9,19,3,18,6,5,32,5,8,16,7,22,13,17,12,39.15,39.96,32.64,86.8,0,0,0,1.69968,0,1.34564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31732,0,0,0,0
VT0348,chr2L,740623,742788,0,14,12,26,18,11,15,14,7,18,20,26,22,43,31,45,16,25,18,19,18,17,10,18,34,66,109,11,22,22,11,16,8,7,45,5,6,11,4,24,20,19,14,29.15,51.06,42.636,81.22,0,0,0,1.18576,0,1.05931,0,0,0,0,0,0,0,0,0,0,0,0,1.28855,0,1.22131,0,0,0,0,0,0,0,0,1.35877,0,0,0,0
VT0349,chr2L,742271,744374,0,11,18,24,17,30,8,18,0,40,16,16,22,43,31,54,16,4,18,19,22,14,7,104,34,52,109,7,15,20,14,16,5,7,40,5,5,5,4,22,18,19,14,45.1,51.06,53.04,26.66,0,0,0,0,0,0,0,0,0,0,1.28453,0,0,0,0,0,0,0,1.26303,0,1.22131,0,0,0,0,0,0,0,0,1.31804,0,0,0,0
VT0350,chr2L,744355,746905,0,14,12,17,16,11,18,12,27,19,23,20,29,45,24,23,4,25,27,16,11,13,4,30,34,52,36,7,11,24,15,20,5,6,38,6,3,4,4,20,18,27,11,26.05,45.51,56.1,114.7,0,0,1.71624,1.31411,0,1.10054,0,0,0,0,1.32364,1.43625,0,0,0,0,0,0,1.30064,0,1.34543,0,0,0,0,0,0,0,0,0,0,0,1.21492,0
VT0351,chr2L,746280,748374,0,17,20,21,16,17,6,14,10,14,22,11,41,26,24,37,12,11,52,13,11,10,7,33,50,36,89,16,14,24,13,16,7,6,45,3,5,5,4,23,21,26,12,39.3,26.64,55.59,21.452,0,0,1.22441,1.14338,0,0.97146,0,0,0,0,0,1.41897,0,0,0,0,0,0,0,0,1.1063,0,0,0,0,0,0,0,0,0,0,0,1.04874,0
VT0353,chr2L,748825,750915,0,17,18,20,20,26,16,12,16,31,11,15,36,32,34,42,31,28,49,16,14,15,20,56,56,29,60,13,21,21,23,18,7,7,42,7,6,5,6,18,18,23,12,32.55,54.39,42.84,97.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
